TrendID,TrendName,Description,StartDate,EndDate,MarketSegment,ImpactScore,Source,IsActive,LastUpdated
1,Clear,Must what career whatever.,2023-10-29,2020-01-11,Remember,8.5,Chapman LLC,False,2024-01-06
2,Feel,Choice employee forget too late capital course.,2023-02-17,2020-02-01,Race,8.9,Esparza-Thompson,True,2024-04-25
3,Majority,Edge material message sense key.,2022-07-07,2022-11-19,Some,3.8,"Butler, Holt and Davis",False,2024-02-02
4,Them,Garden leave figure radio.,2024-01-07,2020-11-16,Power,2.3,"Martinez, Powell and Blair",True,2024-02-18
5,Visit,Down project risk commercial beyond catch near.,2022-09-01,2023-04-26,Mouth,2.4,"Lopez, Glenn and Butler",False,2024-04-09
6,Keep,Small information price national.,2022-12-02,2023-05-19,Purpose,7.2,"Leach, Johnson and Morris",False,2024-04-11
7,Civil,Enjoy when central reduce there hotel.,2021-05-14,2023-09-15,Recognize,4.9,Lowery-Allen,False,2024-03-27
8,Cost,Scene again bill computer six carry size.,2022-02-25,2020-07-21,Day,9.3,Lee and Sons,False,2024-02-28
9,Walk,Almost common middle rate star join foot.,2024-04-13,2022-12-15,Wait,7.6,"Daniels, Espinoza and Esparza",False,2024-03-15
10,Him,Guy well myself author perform.,2024-03-17,2022-01-25,Throughout,1.5,James PLC,False,2024-04-23
11,They,Smile reflect media nor tend hotel effort.,2021-03-21,2024-04-27,Responsibility,5.9,King-Chavez,True,2024-05-21
12,Stay,Own Congress parent begin imagine.,2021-11-10,2023-08-22,Seat,6.0,Kent PLC,True,2024-06-08
13,Issue,Special partner bit the certainly wonder live.,2021-07-17,2024-02-03,Catch,7.7,Forbes PLC,True,2024-01-02
14,Back,Candidate young economic stuff. Six my final.,2022-10-17,2022-10-02,Black,3.2,Austin Group,False,2024-03-04
15,Music,Threat carry include tend involve whether ball.,2024-01-14,2022-03-22,Pressure,1.2,Mitchell-Carter,True,2024-05-03
16,Trip,Hold about seem.,2023-02-02,2023-11-11,Prove,3.1,Scott LLC,True,2024-03-24
17,Me,But me sense within win indeed.,2020-04-18,2023-06-29,Person,8.0,Gonzalez Inc,False,2024-01-10
18,Hot,Security third buy activity life his thousand.,2020-08-06,2020-06-06,Former,2.1,"Calhoun, Diaz and Cardenas",True,2024-06-12
19,Public,Cold answer reason public stock. Our step role.,2020-07-08,2022-02-23,Free,8.3,"Dawson, Reid and James",True,2024-01-12
20,Want,Meeting stop head court also local stop same.,2021-07-11,2022-09-15,Dark,4.4,Lee-Holmes,True,2024-05-02
21,Enter,Chair raise bed close car image hair.,2020-10-24,2021-11-04,Word,7.0,"Lopez, Bautista and Davis",True,2024-04-30
22,Mean,Suffer mention people understand.,2021-10-10,2020-03-13,Provide,1.6,Cruz-Morales,False,2024-05-19
