AccessID,CustomerID,AccessDate,PageViewed,DurationSeconds,Referrer,DeviceType,Browser,Country,IPAddress
1,2,2024-04-08,About,135,Twitter,Tablet,Opera,Lesotho,35.191.26.235
2,42,2024-05-24,About,596,Direct,Mobile,Opera,Australia,178.43.163.152
3,757,2024-03-13,Blog,453,LinkedIn,Mobile,Firefox,Jamaica,64.15.12.97
4,753,2024-03-31,Contact,17,Facebook,Desktop,Safari,Moldova,11.63.165.203
5,291,2024-05-27,About,346,Direct,Mobile,Safari,Saudi Arabia,18.52.228.194
6,180,2024-02-11,Products,254,LinkedIn,Tablet,Edge,Bhutan,80.169.110.159
7,461,2024-06-04,Products,348,Facebook,Desktop,Edge,Korea,79.27.3.62
8,460,2024-04-07,Products,466,Google,Mobile,Edge,Mali,197.146.252.118
9,663,2024-02-09,Home,157,Google,Mobile,Edge,Burkina Faso,28.220.253.213
10,179,2024-02-24,Home,477,Facebook,Desktop,Safari,Saint Barthelemy,215.14.140.209
11,744,2024-04-13,Home,315,Facebook,Mobile,Safari,Argentina,49.229.154.115
12,515,2024-04-16,Blog,240,Google,Tablet,Chrome,Tajikistan,39.34.190.145
13,976,2024-01-11,Contact,399,LinkedIn,Mobile,Edge,Somalia,116.228.55.173
14,661,2024-02-24,About,145,LinkedIn,Mobile,Edge,Antarctica (the territory South of 60 deg S),8.207.130.26
15,284,2024-04-24,Blog,553,Direct,Desktop,Opera,Jersey,10.25.143.221
16,420,2024-03-01,Contact,347,Facebook,Tablet,Safari,Bulgaria,13.95.202.233
17,552,2024-04-03,About,89,Direct,Tablet,Edge,Liechtenstein,72.53.64.112
18,228,2024-03-22,About,273,Twitter,Tablet,Firefox,French Guiana,25.230.174.189
19,572,2024-01-23,Products,520,LinkedIn,Desktop,Edge,Anguilla,185.49.251.10
20,705,2024-03-07,Blog,326,Twitter,Desktop,Safari,Eritrea,54.195.230.175
21,136,2024-03-02,Products,341,Facebook,Mobile,Safari,Zimbabwe,14.6.115.42
22,481,2024-05-02,About,167,Facebook,Tablet,Edge,British Indian Ocean Territory (Chagos Archipelago),83.53.150.109
23,120,2024-05-23,Home,277,Direct,Tablet,Firefox,Taiwan,198.146.199.242
24,928,2024-02-17,Contact,274,Direct,Mobile,Chrome,Antarctica (the territory South of 60 deg S),99.174.122.166
25,202,2024-05-20,Products,421,Direct,Tablet,Safari,Tonga,67.100.155.150
26,161,2024-02-18,About,227,LinkedIn,Tablet,Firefox,Macao,153.194.99.247
27,298,2024-02-11,Products,524,Twitter,Desktop,Firefox,Saint Pierre and Miquelon,95.5.56.148
28,869,2024-02-09,Home,412,LinkedIn,Tablet,Edge,United States of America,168.114.152.50
29,27,2024-01-12,Home,576,Direct,Mobile,Opera,Gabon,28.251.209.203
30,68,2024-04-10,Home,510,Direct,Tablet,Firefox,Montserrat,38.230.225.94
31,833,2024-01-21,Contact,444,Facebook,Mobile,Firefox,Yemen,180.136.248.230
32,971,2024-02-15,Blog,512,Facebook,Desktop,Opera,United States of America,6.126.96.117
